City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
137,Sorong,ID,76.8,overcast clouds,-0.8833,131.25,waigo splash hotel
138,Yellowknife,CA,63.32,scattered clouds,62.456,-114.3525,The Explorer Hotel
139,Tunceli,TR,76.06,clear sky,39.1083,39.5471,Grand Hotel Şaroğlu
140,Kavieng,PG,81.61,light rain,-2.5744,150.7967,Nusa Island Retreat
142,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
146,Hambantota,LK,77.34,broken clouds,6.1241,81.1185,Bungalow 63
148,Svetlyy,RU,68.05,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
150,Dingle,PH,77.4,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
151,Hithadhoo,MV,81.0,light rain,-0.6,73.0833,Scoop Guest House
152,Havre-Saint-Pierre,CA,71.96,clear sky,50.2334,-63.5986,Auberge Niapiskau
153,Basco,PH,82.69,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
154,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
155,Azare,NG,76.78,light rain,11.6765,10.1948,Muk hostel
157,Rosario Do Sul,BR,69.6,clear sky,-30.2583,-54.9142,Hotel Areias Brancas
158,Noumea,NC,71.01,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
160,Kuching,MY,77.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
162,Hualmay,PE,65.61,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
164,Huarmey,PE,67.71,clear sky,-10.0681,-78.1522,Hotel Miramar
168,Rio Grande,BR,65.95,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
170,Fassuta,IL,71.73,clear sky,33.0483,35.3098,Villa Rosa Galilea
171,Praia Da Vitoria,PT,71.76,broken clouds,38.7333,-27.0667,Hotel Branco I
172,Saint-Philippe,RE,67.55,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
175,Kabalo,CD,74.68,scattered clouds,-6.05,26.9167,
176,Aripuana,BR,84.67,few clouds,-9.1667,-60.6333,
178,Shimoda,JP,74.1,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
179,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
180,Port Blair,IN,81.93,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
181,Niquelandia,BR,73.02,clear sky,-14.4739,-48.4597,Hotel Suinã
182,Nueva Loja,EC,80.62,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
183,Arraial Do Cabo,BR,71.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
184,Apricena,IT,84.87,overcast clouds,41.7839,15.4437,Bed & Breakfast CORSO ROMA
185,Kaohsiung,TW,84.15,broken clouds,22.6163,120.3133,御宿商旅-中山館
186,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
188,Bundu,IN,80.82,overcast clouds,23.1833,85.5833,Rajdhani Hotel
